SpeciesCode,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
HOWA,1,NA,NA,1,1,NA,NA,NA,NA,1,NA,5,0,2,3,1,2,2,1,5,2,0,1,NA
HOWR,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,38,28,23,16,15,11,18,12,10,12,23,19
HYBG,NA,NA,NA,1,NA,NA,1,NA,NA,NA,NA,1,5,3,1,3,1,1,NA,1,4,3,0,4
INBU,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,16,5,1,3,8,4,3,9,2,2,2,6
KEWA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA
KIEI,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA
KILL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0
LALO,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA
LARB,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
LASP,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
LAWA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
LAZB,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
LBBG,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,0
LCSP,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA
LEFL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,41,21,22,14,25,31,11,27,13,15,18,16
LEOW,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
LESA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,NA,0
LESC,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,NA,NA,NA,NA,0,NA,NA,NA,0
LEYE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,NA,NA,0,NA,NA,0
LIGU,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,0,0,0,NA,0,0,0,NA,NA
LISP,11,NA,NA,NA,37,14,NA,NA,NA,NA,NA,NA,46,37,25,17,31,32,25,38,28,14,12,22
LTDU,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0
MALL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0
MAWA,61,NA,191,NA,NA,NA,NA,NA,NA,NA,NA,NA,280,322,218,258,340,215,154,398,223,222,151,158
MAWR,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
MERL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0
MODO,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,36,46,54,27,35,31,34,25,30,19,13,16
MOWA,3,3,NA,6,6,NA,7,NA,NA,NA,NA,NA,10,12,9,19,20,13,7,12,8,6,2,10
MUSW,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,0,NA,NA,0,0,0,NA,0
NAWA,NA,NA,91,NA,NA,NA,NA,NA,NA,NA,NA,NA,148,101,104,102,200,55,87,109,94,32,76,74
NOCA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,1,5,1,2,0,57,4,5,3,2,6
NOFL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,4,10,11,8,7,5,8,4,11,6,7
