SpeciesCode,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
NOMO,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,1,0,NA,NA,0,NA,0,0
NOPA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,1,2,2,3,0,1,2,4,NA,0,1,NA,9
NOPI,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,0,NA,0,0,NA,NA,NA,NA,0
NOWA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,18,10,16,31,36,33,18,NA,2,2,8,7
NRWS,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,2,4,1,0,NA,NA,0,1,4,0
NSHO,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
NSHR,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,0,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA
NSWO,NA,NA,NA,NA,2,NA,NA,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
OCWA,1,1,NA,NA,NA,NA,3,5,NA,2,2,NA,NA,NA,1,3,1,NA,NA,NA,2,1,2,4
OROR,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14,2,12,14,9,9,2,NA,7,15,12,26
OSFL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,0,NA,0
OSPR,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,NA,NA,0,0,0,0
OVEN,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11,7,7,29,18,10,11,NA,6,4,10,7
PAWA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,28,8,2,16,46,9,5,NA,12,10,12,14
PBGR,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,0,NA,NA,0,NA,0,NA
PEFA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,0
PESA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA
PHVI,NA,NA,NA,NA,NA,NA,NA,NA,NA,10,NA,NA,1,1,1,5,3,14,4,NA,1,0,2,5
PISI,NA,NA,NA,NA,NA,12,NA,NA,NA,71,NA,NA,0,73,4,4,NA,5,NA,NA,1,NA,2,0
PIWA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,NA,NA,1,0,0,0
PIWO,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,0,0,0,0
PRAW,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
PUFI,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,19,NA,26,1,1,1,NA,2,6,NA,4
PUMA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,2,2,0,0,NA,2,1,0,0
RBGR,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,56,49,44,126,57,47,11,NA,61,44,68,85
RBGU,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,NA,0,0,0,0
RBME,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,NA,0,0,0,NA
RBNU,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,1,1,6,0,0,0,3,NA,1,NA,12
RBWO,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,3,3,2,0,NA,3,4,0,2
RCKI,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,164,188,101,147,149,258,36,NA,58,58,72,111
RECR,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
REDH,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
REVI,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,12,7,39,9,10,2,NA,5,13,12,20
RHWO,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,0,0,0,2,0,0,0,0,NA,0,NA,NA
RIPH,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
RLHA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,NA,NA,NA,NA,0,NA,NA,NA
RNDU,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA
RODO,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,2,0,0,0,NA,0,0,0,0
ROGO,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ROPI,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,2,0,0,0,NA,0,0,0,0
RSHA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
